generation	indiv.index	Mutcount	fitness	zogosity	s	h
100000	45	3	0.962843	het	-0.00421	0.00205291
100000	45	3	0.962843	het	-0.201262	0.182854
100000	33	3	0.998189	het	-0.0749605	0.0131244
100000	705	7	0.881383	het	-0.500435	0.113768
100000	705	7	0.881383	het	-0.386429	0.00922357
100000	705	7	0.881383	het	-0.547362	0.0617139
100000	705	7	0.881383	het	-0.00981975	0.410026
100000	705	7	0.881383	het	-0.145527	0.170888
100000	705	7	0.881383	het	-0.00296958	0.0443619
100000	3394	6	0.986174	het	-0.00934603	0.362378
100000	3394	6	0.986174	het	-0.000467448	0.139968
100000	3394	6	0.986174	het	-0.176037	0.047021
100000	3394	6	0.986174	het	-0.00383766	0.417132
100000	3394	6	0.986174	het	-0.00334505	0.0565827
100000	2101	8	0.857272	het	-0.356376	0.0196363
100000	2101	8	0.857272	het	-0.0170758	0.293584
100000	2101	8	0.857272	het	-0.171047	0.0045025
100000	2101	8	0.857272	het	-0.330842	0.156048
100000	2101	8	0.857272	het	-0.00296958	0.0443619
100000	2101	8	0.857272	het	-0.319283	0.0286648
100000	1661	4	0.972736	het	-0.680459	0.0333031
100000	1661	4	0.972736	het	-0.00981975	0.410026
100000	1661	4	0.972736	het	-0.0172393	0.018843
100000	1535	5	0.9961	het	-0.00196631	0.0853275
100000	1535	5	0.9961	het	-0.00262616	0.0576184
100000	1535	5	0.9961	het	-0.00296958	0.0443619
100000	1415	7	0.900043	het	-0.211392	0.0113873
100000	1415	7	0.900043	het	-0.0170758	0.293584
100000	1415	7	0.900043	het	-0.122971	0.461467
100000	1415	7	0.900043	het	-0.11481	0.315482
100000	1415	7	0.900043	het	-0.0990154	0.00236927
100000	966	12	0.922364	het	-0.292602	0.0119169
100000	966	12	0.922364	het	-0.801466	0.0237612
100000	966	12	0.922364	het	-0.00309095	0.124517
100000	966	12	0.922364	het	-0.39584	0.060124
100000	966	12	0.922364	het	-0.171047	0.0045025
100000	966	12	0.922364	het	-0.205523	0.0546577
100000	966	12	0.922364	het	-0.00634122	0.107808
100000	966	12	0.922364	het	-0.00421	0.00205291
100000	966	12	0.922364	het	-0.289982	0.0690679
100000	966	12	0.922364	het	-0.00296958	0.0443619
100000	966	12	0.922364	het	-0.0019182	0.0721201
100000	3232	10	0.939983	het	-0.00196631	0.0853275
100000	3232	10	0.939983	het	-0.757206	0.00425004
100000	3232	10	0.939983	het	-0.268199	0.100778
100000	3232	10	0.939983	het	-0.000467448	0.139968
100000	3232	10	0.939983	het	-0.00616299	0.0813644
100000	3232	10	0.939983	het	-0.192897	0.147677
100000	3232	10	0.939983	het	-0.0026701	0.464848
100000	3232	10	0.939983	het	-0.00421	0.00205291
100000	3232	10	0.939983	het	-0.00453236	0.00510576
100000	2826	8	0.830987	het	-0.00196631	0.0853275
100000	2826	8	0.830987	het	-0.000467448	0.139968
100000	2826	8	0.830987	het	-0.802248	0.00856343
100000	2826	8	0.830987	het	-0.414022	0.0175432
100000	2826	8	0.830987	het	-0.139757	0.285171
100000	2826	8	0.830987	het	-0.241697	0.123144
100000	2826	8	0.830987	het	-0.289038	0.327604
100000	1978	7	0.7539	het	-0.000467448	0.139968
100000	1978	7	0.7539	het	-0.542199	0.360807
100000	1978	7	0.7539	het	-0.00981975	0.410026
100000	1978	7	0.7539	het	-0.568959	0.0976767
100000	1978	7	0.7539	het	-0.0154002	0.0357147
100000	1978	7	0.7539	het	-0.0406949	0.0641007
100000	2618	8	0.907864	het	-0.000467448	0.139968
100000	2618	8	0.907864	het	-0.627676	0.00358812
100000	2618	8	0.907864	het	-0.16293	0.0130952
100000	2618	8	0.907864	het	-0.00334505	0.0565827
100000	2618	8	0.907864	het	-0.124087	0.07421
100000	2618	8	0.907864	het	-0.00296958	0.0443619
100000	2618	8	0.907864	het	-0.224778	0.351363
100000	3224	6	0.921068	het	-0.995352	0.00370789
100000	3224	6	0.921068	het	-0.192897	0.147677
100000	3224	6	0.921068	het	-0.841091	0.0461312
100000	3224	6	0.921068	het	-0.00334505	0.0565827
100000	3224	6	0.921068	het	-0.0728277	0.129831
100000	1536	6	0.973489	het	-0.00196631	0.0853275
100000	1536	6	0.973489	het	-0.0170758	0.293584
100000	1536	6	0.973489	het	-0.0965461	0.195558
100000	1536	6	0.973489	het	-0.567278	0.00152428
100000	1536	6	0.973489	het	-0.0139971	0.099128
100000	1677	5	0.971962	het	-0.0285106	0.136017
100000	1677	5	0.971962	het	-0.123411	0.0396501
100000	1677	5	0.971962	het	-0.224703	0.0844354
100000	1677	5	0.971962	het	-0.00296958	0.0443619
100000	1855	5	0.990892	het	-0.277764	0.0137324
100000	1855	5	0.990892	het	-0.0681129	0.060824
100000	1855	5	0.990892	het	-0.00634122	0.107808
100000	1855	5	0.990892	het	-0.00296958	0.0443619
100000	3252	6	0.963583	het	-0.000467448	0.139968
100000	3252	6	0.963583	het	-0.0868355	0.104307
100000	3252	6	0.963583	het	-0.842386	0.0194207
100000	3252	6	0.963583	het	-0.255877	0.0425407
100000	3252	6	0.963583	het	-0.00296958	0.0443619
100000	2754	7	0.955838	het	-0.00568657	0.270534
100000	2754	7	0.955838	het	-0.074037	0.272717
100000	2754	7	0.955838	het	-0.205523	0.0546577
100000	2754	7	0.955838	het	-0.0231304	0.483413
100000	2754	7	0.955838	het	-0.00334505	0.0565827
100000	2754	7	0.955838	het	-0.0019182	0.0721201
100000	1777	5	0.987834	het	-0.792573	0.00563278
100000	1777	5	0.987834	het	-0.289176	0.0250327
100000	1777	5	0.987834	het	-0.00421	0.00205291
100000	1777	5	0.987834	het	-0.00296958	0.0443619
